com.mysql.jdbc.JDBC4PreparedStatement@b1cc87: INSERT INTO code_flag_lookup (value, meaning, bufr_b_idx) VALUES(4, 'Region IV', 30117)
com.mysql.jdbc.JDBC4PreparedStatement@5d391d: INSERT INTO code_flag_lookup (value, meaning, bufr_b_idx) VALUES(2, 'Region II', 30117)
com.mysql.jdbc.JDBC4PreparedStatement@d507e9: INSERT INTO code_flag_lookup (value, meaning, bufr_b_idx) VALUES(5, 'Region V', 30117)
com.mysql.jdbc.JDBC4PreparedStatement@1049d3: INSERT INTO code_flag_lookup (value, meaning, bufr_b_idx) VALUES(0, 'Antarctica', 30117)
com.mysql.jdbc.JDBC4PreparedStatement@14a7a12: INSERT INTO code_flag_lookup (value, meaning, bufr_b_idx) VALUES(6, 'Region VI', 30117)
com.mysql.jdbc.JDBC4PreparedStatement@32060c: INSERT INTO code_flag_lookup (value, meaning, bufr_b_idx) VALUES(1, 'Region I', 30117)
com.mysql.jdbc.JDBC4PreparedStatement@1efb4be: INSERT INTO code_flag_lookup (value, meaning, bufr_b_idx) VALUES(3, 'Region III', 30117)
com.mysql.jdbc.JDBC4PreparedStatement@1f4e571: INSERT INTO code_flag_lookup (value, meaning, bufr_b_idx) VALUES(740, 'COSMIC-1', 30121)
com.mysql.jdbc.JDBC4PreparedStatement@ea48be: INSERT INTO code_flag_lookup (value, meaning, bufr_b_idx) VALUES(702, 'NOAA 2', 30121)
com.mysql.jdbc.JDBC4PreparedStatement@174d93a: INSERT INTO code_flag_lookup (value, meaning, bufr_b_idx) VALUES(521, 'FY-3B', 30121)
com.mysql.jdbc.JDBC4PreparedStatement@1a0225b: INSERT INTO code_flag_lookup (value, meaning, bufr_b_idx) VALUES(262, 'JASON 3', 30121)
com.mysql.jdbc.JDBC4PreparedStatement@78bc3b: INSERT INTO code_flag_lookup (value, meaning, bufr_b_idx) VALUES(204, 'NOAA 12', 30121)
com.mysql.jdbc.JDBC4PreparedStatement@da2cef: INSERT INTO code_flag_lookup (value, meaning, bufr_b_idx) VALUES(729, 'COSMIC-2 P6', 30121)
com.mysql.jdbc.JDBC4PreparedStatement@18622f3: INSERT INTO code_flag_lookup (value, meaning, bufr_b_idx) VALUES(41, 'CHAMP', 30121)
com.mysql.jdbc.JDBC4PreparedStatement@5eb489: INSERT INTO code_flag_lookup (value, meaning, bufr_b_idx) VALUES(753, 'COSMIC-2 E4', 30121)
